INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (326277, 233865, '54 Mcguire Center', 51, 110, 31, 'Brnaby');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (762223, 376590, '21608 Everett Circle', 90, 5356, 75, 'Estevan');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (876921, 276344, '5 Dayton Drive', 20, 8338, 32, 'Arny');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (879337, 673153, '22 Hanover Place', 53, 4627, 76, 'Marve');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (546891, 396700, '932 Bluejay Road', 86, 9025, 30, 'Israel');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (310442, 736566, '4 Barnett Parkway', 38, 4253, 15, 'Brnaba');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (919025, 377477, '97 Eastwood Drive', 95, 6392, 56, 'Markus');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (293799, 155710, '9604 Harbort Center', 77, 2215, 87, 'Gayle');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (983044, 972689, '94 Norway Maple Place', 63, 737, 62, 'Nappie');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (169197, 868907, '74 Moose Avenue', 77, 5982, 63, 'Wilfred');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (241481, 690661, '32849 Anniversary Park', 45, 9939, 43, 'Eddy');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (814929, 263069, '50131 Elmside Alley', 1, 2433, 84, 'Forbes');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (737450, 775659, '20 Armistice Lane', 92, 9918, 17, 'Kimball');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (348442, 360612, '8 Parkside Junction', 41, 6561, 12, 'Logan');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (519304, 414735, '3571 Weeping Birch Drive', 40, 2011, 70, 'Harman');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (332356, 487140, '234 Killdeer Place', 81, 7859, 31, 'Fitzgerald');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (389269, 912733, '0 Drewry Avenue', 75, 8132, 52, 'Aristotle');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (759112, 840501, '0489 Welch Crossing', 42, 7177, 91, 'Siegfried');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (825503, 932741, '322 Larry Lane', 21, 6179, 24, 'Jaye');
INSERT INTO CLIENTE (Id_Cliente, Id_Pedidos, Direccion, Limite_Credito, Saldo, Descuento, Nombre) values (268061, 823417, '5249 Elmside Point', 10, 5161, 34, 'Dare');
